prize_id,prize_name,prize_alias,prize_institution,prize_year,prize_genre,person_id,first_name,last_name,gender,uk_residence,ethnicity_macro,highest_degree,degree_field_cat,degree_institution,degree_field,role_simple,person_role,book_id,book_title
8,Booker Prize,Booker Prize,Booker Foundation,1991,Fiction,0294,Martin,Amis,man,TRUE,White British,Bachelors,Language and Literature,University of Oxford,English Literature,Shortlisted,shortlisted,00005,Time's Arrow
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,1991,Fiction,0033,William,Boyd,man,TRUE,White British,unknown,Language and Literature,University of Oxford,English Literature,Winner,winner,00036,Brazzaville Beach
3,Whitbread First Novel,Costa First Novel Award,Whitbread,1991,Fiction,0167,Gordon,Burn,man,TRUE,White British,none,none,none,none,Winner,winner,00042,Alma Cogan
8,Booker Prize,Booker Prize,Booker Foundation,1991,Fiction,0286,Roddy,Doyle,man,FALSE,Irish,Bachelors,Multiple,University College Dublin,English and Geography,Shortlisted,shortlisted,00077,The Van
4,Whitbread Novel,Costa Novel Award,Whitbread,1991,Fiction,0168,Jane,Gardam,woman,TRUE,White British,Bachelors,Language and Literature,University of London,English Literature,Winner,winner,00114,The Queen of the Tambourine
7,Whitbread Children's Novel,Costa Children's Book Award,Whitbread,1991,Children's,0170,Diana,Hendry,woman,TRUE,White British,unknown,unknown,University of Bristol,unknown,Winner,winner,00138,Harvey Angell
6,Whitbread Poetry,Costa Poetry Award,Whitbread,1991,Poetry,0169,Michael,Longley,man,TRUE,White British,Bachelors,Language and Literature,"Trinity College, Dublin",Classics,Winner,winner,00182,Gorse Fires
8,Booker Prize,Booker Prize,Booker Foundation,1991,Fiction,0260,Rohinton,Mistry,man,FALSE,Asian,Bachelors,Multiple,Bombay University/University of Toronto,Mathematics and Economics/English and Philosophy,Shortlisted,shortlisted,00225,Such a Long Journey
8,Booker Prize,Booker Prize,Booker Foundation,1991,Fiction,0023,Timothy,Mo,man,TRUE,Asian,Bachelors,unknown,University of Oxford,unknown,Shortlisted,shortlisted,00229,The Redundancy of Courage
8,Booker Prize,Booker Prize,Booker Foundation,1991,Fiction,0293,Ben,Okri,man,FALSE,African,Bachelors,unknown,Queen's University,unknown,Winner,winner,00251,The Famished Road
2,Whitbread Book of the Year,Costa Book of the Year,Whitbread,1991,No/Any/Multi Genre,0166,John,Richardson,man,TRUE,White British,unknown,unknown,Slade School of Art,unknown,Winner,winner,00270,A Life of Picasso I: The Prodigy
5,Whitbread Biography,Costa Biography Award,Whitbread,1991,Biography,0166,John,Richardson,man,TRUE,White British,unknown,unknown,Slade School of Art,unknown,Winner,winner,00270,A Life of Picasso I: The Prodigy
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,1991,Sff,0512,Dan,Simmons,man,FALSE,Non-UK White,Masters,Education,Washington University,Education,Winner,winner,00659,The Fall of Hyperion
8,Booker Prize,Booker Prize,Booker Foundation,1991,Fiction,0153,William,Trevor,man,TRUE,Irish,Bachelors,History and Cultural Studies,"Trinity College, Dublin",History,Shortlisted,shortlisted,00339,Reading Turgenev
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,1991,Crime,0490,Barbara,Vine,woman,TRUE,White British,none,none,none,none,Winner,winner,00626,King Solomon's Carpet
7,Whitbread Children's Novel,Costa Children's Book Award,Whitbread,1992,Children's,0165,Gillian,Cross,woman,TRUE,White British,Doctorate,unknown,University of Sussex,unknown,Winner,winner,00063,The Great Elephant Chase
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,1992,Crime,0489,Colin,Dexter,man,TRUE,White British,Bachelors,Language and Literature,University of Cambridge,Classics,Winner,winner,00625,The Way Through the Woods
5,Whitbread Biography,Costa Biography Award,Whitbread,1992,Biography,0163,Victoria,Glendinning,woman,TRUE,White British,Bachelors,Language and Literature,University of Oxford,Modern Languages,Winner,winner,00119,Trollope
4,Whitbread Novel,Costa Novel Award,Whitbread,1992,Fiction,0162,Alasdair,Gray,man,TRUE,White British,unknown,Arts,Glasgow Scool of Art,Design and Mural Painting,Winner,winner,00121,Poor Things
6,Whitbread Poetry,Costa Poetry Award,Whitbread,1992,Poetry,0164,Tony,Harrison,man,TRUE,White British,Postgraduate,unknown,unknown,unknown,Winner,winner,00132,The Gaze of the Gorgon
8,Booker Prize,Booker Prize,Booker Foundation,1992,Fiction,0291,Christopher,Hope,man,TRUE,Non-UK White,unknown,unknown,University of the Witwatersrand,unknown,Shortlisted,shortlisted,00145,Serenity House
8,Booker Prize,Booker Prize,Booker Foundation,1992,Fiction,0270,Patrick,McCabe,man,FALSE,Irish,unknown,unknown,St Patrick's Training College,unknown,Shortlisted,shortlisted,00202,The Butcher Boy
8,Booker Prize,Booker Prize,Booker Foundation,1992,Fiction,0017,Ian,McEwan,man,TRUE,White British,Masters,Writing,University of East Anglia,Creative Writing,Shortlisted,shortlisted,00210,Black Dogs
8,Booker Prize,Booker Prize,Booker Foundation,1992,Fiction,0290,Michael,Ondaatje,man,FALSE,Asian,Masters,Language and Literature,McGill University,English Literature,Winner,winner,00252,The English Patient
8,Booker Prize,Booker Prize,Booker Foundation,1992,Fiction,0292,Michèle,Roberts,woman,TRUE,White British,Bachelors,Language and Literature,University of Oxford,English Literature,Shortlisted,shortlisted,00274,Daughters of the House
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,1992,Sff,0511,Kim Stanley,Robinson,man,FALSE,Non-UK White,Doctorate,Language and Literature,"University of California, San Diego",Science Fiction,Winner,winner,00658,Red Mars
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,1992,Fiction,0032,Iain,Sinclair,man,TRUE,White British,Bachelors,Language and Literature,University of Cambridge,English Literature,Winner,winner,00298,Downriver
2,Whitbread Book of the Year,Costa Book of the Year,Whitbread,1992,No/Any/Multi Genre,0161,Jeff,Torrington,man,TRUE,White British,none,none,none,none,Winner,winner,00335,Swing Hammer Swing!
3,Whitbread First Novel,Costa First Novel Award,Whitbread,1992,Fiction,0161,Jeff,Torrington,man,TRUE,White British,none,none,none,none,Winner,winner,00335,Swing Hammer Swing!
8,Booker Prize,Booker Prize,Booker Foundation,1992,Fiction,0280,Barry,Unsworth,man,TRUE,White British,Bachelors,Language and Literature,University of Manchester,English Literature,Winner,winner,00344,Sacred Hunger
2,Whitbread Book of the Year,Costa Book of the Year,Whitbread,1993,No/Any/Multi Genre,0158,Joan,Brady,woman,TRUE,Non-UK White,Bachelors,Philosophy and Theology,Columbia University,Philosophy,Winner,winner,00038,Theory of War
4,Whitbread Novel,Costa Novel Award,Whitbread,1993,Fiction,0158,Joan,Brady,woman,TRUE,Non-UK White,Bachelors,Philosophy and Theology,Columbia University,Philosophy,Winner,winner,00038,Theory of War
14,TS Eliot Prize,TS Eliot Prize,TS Eliot Foundation,1993,Poetry,0542,Ciaran,Carson,man,TRUE,White British,Bachelors,Language and Literature,Queen's University,English,Winner,winner,00695,First Language: Poems
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,1993,Crime,0488,Patricia,Cornwell,woman,FALSE,Non-UK White,Bachelors,Language and Literature,Davidson College,English,Winner,winner,00624,Cruel and Unusual
3,Whitbread First Novel,Costa First Novel Award,Whitbread,1993,Fiction,0159,Rachel,Cusk,woman,TRUE,White British,Bachelors,Language and Literature,University of Oxford,English Literature,Winner,winner,00064,Saving Agnes
8,Booker Prize,Booker Prize,Booker Foundation,1993,Fiction,0286,Roddy,Doyle,man,FALSE,Irish,Bachelors,Multiple,University College Dublin,English and Geography,Winner,winner,00076,Paddy Clarke Ha Ha Ha
6,Whitbread Poetry,Costa Poetry Award,Whitbread,1993,Poetry,0085,Carol Ann,Duffy,woman,TRUE,White British,Bachelors,Philosophy and Theology,University of Liverpool,Philosophy,Winner,winner,00078,Mean Time
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,1993,Sff,0510,Christopher,Evans,man,TRUE,White British,Masters,unknown,Swansea University,unknown,Winner,winner,00657,Aztec Century
7,Whitbread Children's Novel,Costa Children's Book Award,Whitbread,1993,Children's,0146,Anne,Fine,woman,TRUE,White British,unknown,Politics and Economics,unknown,Politics and History,Winner,winner,00096,Flour Babies
8,Booker Prize,Booker Prize,Booker Foundation,1993,Fiction,0287,Tibor,Fischer,man,TRUE,Non-UK White,Bachelors,Language and Literature,University of Cambridge,Latin and French,Shortlisted,shortlisted,00098,Under the Frog
8,Booker Prize,Booker Prize,Booker Foundation,1993,Fiction,0288,Michael,Ignatieff,man,FALSE,Non-UK White,Doctorate,unknown,Harvard University,unknown,Shortlisted,shortlisted,00151,Scar Tissue
8,Booker Prize,Booker Prize,Booker Foundation,1993,Fiction,0289,David,Malouf,man,TRUE,Jewish,Bachelors,unknown,University of Queensland,unknown,Shortlisted,shortlisted,00192,Remembering Babylon
5,Whitbread Biography,Costa Biography Award,Whitbread,1993,Biography,0160,Andrew,Motion,man,TRUE,White British,Masters,Language and Literature,University of Oxford,Literature,Winner,winner,00236,Philip Larkin: A Writer's Life
8,Booker Prize,Booker Prize,Booker Foundation,1993,Fiction,0030,Caryl,Phillips,man,TRUE,Caribbean,Bachelors,Language and Literature,University of Oxford,Literature,Shortlisted,shortlisted,00261,Crossing the River
8,Booker Prize,Booker Prize,Booker Foundation,1993,Fiction,0261,Carol,Shields,woman,FALSE,Non-UK White,Masters,Language and Literature,University of Ottawa,English Literature,Shortlisted,shortlisted,00294,The Stone Diaries
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,1993,Fiction,0031,Rose,Tremain,woman,TRUE,White British,Bachelors,Language and Literature,University of East Anglia,English Literature,Winner,winner,00337,Sacred Country
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,1994,Sff,0508,Iain M,Banks,man,TRUE,White British,Bachelors,Multiple,University of Stirling,"English Literature, Philosophy and Psychology",Winner,winner,00656,Feersum Endjinn
8,Booker Prize,Booker Prize,Booker Foundation,1994,Fiction,0284,George Mackay,Brown,man,TRUE,White British,Masters,Language and Literature,University of Edinburgh,English Literature,Shortlisted,shortlisted,00039,Beside the Ocean of Time
3,Whitbread First Novel,Costa First Novel Award,Whitbread,1994,Fiction,0154,Fred,D'Aguiar,man,TRUE,Caribbean,Bachelors,History and Cultural Studies,University of Kent,African and Caribbean Studies,Winner,winner,00065,The Longest Memory
6,Whitbread Poetry,Costa Poetry Award,Whitbread,1994,Poetry,0156,James,Fenton,man,TRUE,White British,Bachelors,Language and Literature,University of Oxford,English Literature,Winner,winner,00093,Out of Danger
8,Booker Prize,Booker Prize,Booker Foundation,1994,Fiction,0282,Romesh,Gunesekera,man,TRUE,Asian,Bachelors,Multiple,University of Liverpool,English and Philosophy,Shortlisted,shortlisted,00123,Reef
8,Booker Prize,Booker Prize,Booker Foundation,1994,Fiction,0283,Abdulrazak,Gurnah,man,TRUE,African,Doctorate,Language and Literature,University of Kent,African Literature,Shortlisted,shortlisted,00124,Paradise
8,Booker Prize,Booker Prize,Booker Foundation,1994,Fiction,0029,Alan,Hollinghurst,man,TRUE,White British,Masters,Language and Literature,University of Oxford,English Literature,Shortlisted,shortlisted,00141,The Folding Star
8,Booker Prize,Booker Prize,Booker Foundation,1994,Fiction,0281,James,Kelman,man,TRUE,White British,unknown,unknown,unknown,unknown,Winner,winner,00166,"How late it was, how late"
5,Whitbread Biography,Costa Biography Award,Whitbread,1994,Biography,0155,Brenda,Maddox,woman,TRUE,Non-UK White,Bachelors,Language and Literature,Harvard University,English Literature,Winner,winner,00190,D H Lawrence: The Married Man
7,Whitbread Children's Novel,Costa Children's Book Award,Whitbread,1994,Children's,0118,Geraldine,McCaughrean,woman,TRUE,White British,unknown,unknown,Canterbury Christ Church University,unknown,Winner,winner,00206,Gold Dust
14,TS Eliot Prize,TS Eliot Prize,TS Eliot Foundation,1994,Poetry,0541,Paul,Muldoon,man,TRUE,White British,Bachelors,Language and Literature,Queen's University,English,Winner,winner,00694,The Annals of Chile
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,1994,Fiction,0030,Caryl,Phillips,man,TRUE,Caribbean,Bachelors,Language and Literature,University of Oxford,Literature,Winner,winner,00261,Crossing the River
2,Whitbread Book of the Year,Costa Book of the Year,Whitbread,1994,No/Any/Multi Genre,0153,William,Trevor,man,TRUE,Irish,Bachelors,History and Cultural Studies,"Trinity College, Dublin",History,Winner,winner,00338,Felicia's Journey
4,Whitbread Novel,Costa Novel Award,Whitbread,1994,Fiction,0153,William,Trevor,man,TRUE,Irish,Bachelors,History and Cultural Studies,"Trinity College, Dublin",History,Winner,winner,00338,Felicia's Journey
8,Booker Prize,Booker Prize,Booker Foundation,1994,Fiction,0285,Jill Paton,Walsh,woman,TRUE,White British,Bachelors,Language and Literature,University of Oxford,English Literature,Shortlisted,shortlisted,00348,Knowledge of Angels
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,1994,Crime,0481,Minette,Walters,woman,TRUE,White British,Bachelors,Language and Literature,Durham University,French,Winner,winner,00623,The Schold's Bridle
2,Whitbread Book of the Year,Costa Book of the Year,Whitbread,1995,No/Any/Multi Genre,0065,Kate,Atkinson,woman,TRUE,White British,Masters,Language and Literature,Dundee University,English Literature,Winner,winner,00009,Behind the Scenes at the Museum
3,Whitbread First Novel,Costa First Novel Award,Whitbread,1995,Fiction,0065,Kate,Atkinson,woman,TRUE,White British,Masters,Language and Literature,Dundee University,English Literature,Winner,winner,00009,Behind the Scenes at the Museum
8,Booker Prize,Booker Prize,Booker Foundation,1995,Fiction,0279,Pat,Barker,woman,TRUE,White British,unknown,Multiple,University of Cambridge,Philosophy and English,Winner,winner,00023,The Ghost Road
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,1995,Sff,0509,Stephen,Baxter,man,TRUE,White British,unknown,Maths and Sciences,University of Southampton,Engineering,Winner,winner,00655,The Time Ships
8,Booker Prize,Booker Prize,Booker Foundation,1995,Fiction,0141,Justin,Cartwright,man,TRUE,Non-UK White,Bachelors,Politics and Economics,University of Oxford,"Politics, Philosophy and Economics",Shortlisted,shortlisted,00050,In Every Face I Meet
14,TS Eliot Prize,TS Eliot Prize,TS Eliot Foundation,1995,Poetry,0540,Mark,Doty,man,FALSE,Non-UK White,Masters,Writing,Goddard College,Creative Writing,Winner,winner,00693,My Alexandria
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,1995,Fiction,0029,Alan,Hollinghurst,man,TRUE,White British,Masters,Language and Literature,University of Oxford,English Literature,Winner,winner,00141,The Folding Star
5,Whitbread Biography,Costa Biography Award,Whitbread,1995,Biography,0150,Roy,Jenkins,man,TRUE,White British,Bachelors,unknown,University of Oxford,unknown,Winner,winner,00159,Gladstone
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,1995,Crime,0479,Val,McDermid,woman,TRUE,White British,Bachelors,Language and Literature,University of Oxford,English,Winner,winner,00622,The Mermaids Singing
7,Beefeater Children's Novel,Costa Children's Book Award,Whitbread,1995,Children's,0152,Michael,Morpurgo,man,TRUE,White British,Bachelors,unknown,"King's College, London",unknown,Winner,winner,00233,The Wreck of the Zanzibar
6,Whitbread Poetry,Costa Poetry Award,Whitbread,1995,Poetry,0151,Bernard,O'Donoghue,man,FALSE,Irish,unknown,Writing,Cornell University,Creative Writing,Winner,winner,00244,Gunpowder
4,Whitbread Novel,Costa Novel Award,Whitbread,1995,Fiction,0149,Salman,Rushdie,man,TRUE,Asian,Masters,History and Cultural Studies,University of Cambridge,History,Winner,winner,00282,The Moor's Last Sigh
8,Booker Prize,Booker Prize,Booker Foundation,1995,Fiction,0149,Salman,Rushdie,man,TRUE,Asian,Masters,History and Cultural Studies,University of Cambridge,History,Shortlisted,shortlisted,00282,The Moor's Last Sigh
8,Booker Prize,Booker Prize,Booker Foundation,1995,Fiction,0280,Barry,Unsworth,man,TRUE,White British,Bachelors,Language and Literature,University of Manchester,English Literature,Shortlisted,shortlisted,00343,Morality Play
8,Booker Prize,Booker Prize,Booker Foundation,1995,Fiction,0262,Tim,Winton,man,FALSE,Non-UK White,Bachelors,Writing,Western Australian Institute of Technology,Creative Writing,Shortlisted,shortlisted,00356,The Riders
8,Booker Prize,Booker Prize,Booker Foundation,1996,Fiction,0190,Margaret,Atwood,woman,FALSE,Non-UK White,Masters,Language and Literature,Radcliffe College,English Literature,Shortlisted,shortlisted,00011,Alias Grace
4,Whitbread Novel Award,Costa Novel Award,Whitbread,1996,Fiction,0024,Beryl,Bainbridge,woman,TRUE,White British,none,none,none,none,Winner,winner,00019,Every Man for Himself
8,Booker Prize,Booker Prize,Booker Foundation,1996,Fiction,0024,Beryl,Bainbridge,woman,TRUE,White British,none,none,none,none,Shortlisted,shortlisted,00019,Every Man for Himself
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,1996,Sff,0508,Iain M,Banks,man,TRUE,White British,Bachelors,Multiple,University of Stirling,"English Literature, Philosophy and Psychology",Winner,winner,00654,Excession
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1996,Fiction,0376,Julia,Blackburn,woman,TRUE,White British,unknown,unknown,unknown,unknown,Shortlisted,shortlisted,00495,The Book of Colour
8,Booker Prize,Booker Prize,Booker Foundation,1996,Fiction,0277,Seamus,Deane,man,FALSE,Irish,Doctorate,Language and Literature,University of Cambridge,Literature,Shortlisted,shortlisted,00069,Reading in the Dark
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1996,Fiction,0054,Helen,Dunmore,woman,TRUE,White British,Bachelors,Language and Literature,University of York,English Literature,Winner,winner,00494,A Spell of Winter
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,1996,Crime,0487,Ben,Elton,man,TRUE,Jewish,Bachelors,Arts,University of Manchester,Drama,Winner,winner,00621,Popcorn
7,Whitbread Children's Book of the Year,Costa Children's Book Award,Whitbread,1996,Children's,0146,Anne,Fine,woman,TRUE,White British,unknown,Politics and Economics,unknown,Politics and History,Winner,winner,00097,The Tulip Touch
2,Whitbread Book of the Year,Costa Book of the Year,Whitbread,1996,No/Any/Multi Genre,0134,Seamus,Heaney,man,TRUE,White British,Bachelors,Language and Literature,Queen's University,English Literature,Winner,winner,00136,The Spirit Level
6,Whitbread Poetry Award,Costa Poetry Award,Whitbread,1996,Poetry,0134,Seamus,Heaney,man,TRUE,White British,Bachelors,Language and Literature,Queen's University,English Literature,Winner,winner,00136,The Spirit Level
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1996,Fiction,0388,Pagan,Kennedy,woman,FALSE,Non-UK White,unknown,unknown,unknown,unknown,Shortlisted,shortlisted,00496,Spinsters
3,Whitbread First Novel Award,Costa First Novel Award,Whitbread,1996,Fiction,0147,John,Lanchester,man,TRUE,White British,unknown,unknown,unknown,unknown,Winner,winner,00173,The Debt to Pleasure
5,Whitbread Biography Award,Costa Biography Award,Whitbread,1996,Biography,0148,Diarmaid,MacCulloch,man,TRUE,White British,Doctorate,Philosophy and Theology,University of Oxford,Theology,Winner,winner,00185,Thomas Cranmer: A Life
8,Booker Prize,Booker Prize,Booker Foundation,1996,Fiction,0278,Shena,Mackay,woman,TRUE,White British,none,none,none,none,Shortlisted,shortlisted,00187,The Orchard on Fire
8,Booker Prize,Booker Prize,Booker Foundation,1996,Fiction,0260,Rohinton,Mistry,man,FALSE,Asian,Bachelors,Multiple,Bombay University/University of Toronto,Mathematics and Economics/English and Philosophy,Shortlisted,shortlisted,00223,A Fine Balance
14,TS Eliot Prize,TS Eliot Prize,TS Eliot Foundation,1996,Poetry,0539,Les,Murray,man,FALSE,Non-UK White,Bachelors,Language and Literature,Sydney University,Modern Languages,Winner,winner,00692,Subhuman Redneck Poems
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,1996,Fiction,0028,Christopher,Priest,man,TRUE,White British,none,none,none,none,Winner,winner,00267,The Prestige
8,Booker Prize,Booker Prize,Booker Foundation,1996,Fiction,0026,Graham,Swift,man,TRUE,White British,Bachelors,Philosophy and Theology,University of Oxford,Philosophy and Theology,Winner,winner,00318,Last Orders
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1996,Fiction,0389,Amy,Tan,woman,FALSE,Asian,Masters,Language and Literature,San Jose State University,Linguistics,Shortlisted,shortlisted,00497,The Hundred Secret Senses
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1996,Fiction,0212,Anne,Tyler,woman,FALSE,Non-UK White,Bachelors,unknown,Duke University,unknown,Shortlisted,shortlisted,00498,Ladder of Years
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1996,Fiction,0390,Marianne,Wiggins,woman,FALSE,Non-UK White,unknown,unknown,unknown,unknown,Shortlisted,shortlisted,00499,Eveless Eden
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1997,Fiction,0190,Margaret,Atwood,woman,FALSE,Non-UK White,Masters,Language and Literature,Radcliffe College,English Literature,Shortlisted,shortlisted,00011,Alias Grace
4,Whitbread Novel Award,Costa Novel Award,Whitbread,1997,Fiction,0009,Jim,Crace,man,TRUE,White British,Bachelors,Language and Literature,University of London,English Literature,Winner,winner,00062,Quarantine
8,Booker Prize,Booker Prize,Booker Foundation,1997,Fiction,0009,Jim,Crace,man,TRUE,White British,Bachelors,Language and Literature,University of London,English Literature,Shortlisted,shortlisted,00062,Quarantine
2,Whitbread Book of the Year,Costa Book of the Year,Whitbread,1997,No/Any/Multi Genre,0139,Ted,Hughes,man,TRUE,White British,Bachelors,History and Cultural Studies,University of Cambridge,Archaeology and Anthropology,Winner,winner,00147,Tales from Ovid
6,Whitbread Poetry Award,Costa Poetry Award,Whitbread,1997,Poetry,0139,Ted,Hughes,man,TRUE,White British,Bachelors,History and Cultural Studies,University of Cambridge,Archaeology and Anthropology,Winner,winner,00147,Tales from Ovid
8,Booker Prize,Booker Prize,Booker Foundation,1997,Fiction,0273,Mick,Jackson,man,TRUE,White British,Masters,Writing,University of East Anglia,Creative Writing,Shortlisted,shortlisted,00154,The Underground Man
8,Booker Prize,Booker Prize,Booker Foundation,1997,Fiction,0274,Bernard,MacLaverty,man,TRUE,White British,unknown,unknown,Queen's University,unknown,Shortlisted,shortlisted,00188,Grace Notes
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1997,Fiction,0350,Deirdre,Madden,woman,TRUE,White British,Masters,Writing,University of East Anglia,Creative Writing,Shortlisted,shortlisted,00490,One by One in the Darkness
3,Whitbread First Novel Award,Costa First Novel Award,Whitbread,1997,Fiction,0144,Pauline,Melville,woman,TRUE,Black British,unknown,unknown,unknown,unknown,Winner,winner,00216,The Ventriloquist's Tale
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1997,Fiction,0385,Jane,Mendelsohn,woman,FALSE,Non-UK White,Bachelors,unknown,Yale University,unknown,Shortlisted,shortlisted,00491,I Was Amelia Earhart
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1997,Fiction,0383,Anne,Michaels,woman,FALSE,Jewish,Bachelors,Language and Literature,University of Toronto,English Literature,Winner,winner,00489,Fugitive Pieces
7,Whitbread Children's Book of the Year,Costa Children's Book Award,Whitbread,1997,Children's,0143,Andrew,Norriss,man,TRUE,White British,Bachelors,unknown,"Trinity College, Dublin",unknown,Winner,winner,00242,Aquila
8,Booker Prize,Booker Prize,Booker Foundation,1997,Fiction,0275,Tim,Parks,man,TRUE,White British,unknown,unknown,University of Cambridge,unknown,Shortlisted,shortlisted,00255,Europa
14,TS Eliot Prize,TS Eliot Prize,TS Eliot Foundation,1997,Poetry,0067,Don,Paterson,man,TRUE,White British,none,none,none,none,Winner,winner,00691,God's Gift to Women
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1997,Fiction,0386,Annie,Proulx,woman,FALSE,Non-UK White,Masters,History and Cultural Studies,Sir George Williams University,History,Shortlisted,shortlisted,00492,Accordion Crimes
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,1997,Crime,0486,Ian,Rankin,man,TRUE,White British,Bachelors,Language and Literature,University of Edinburgh,English Literature,Winner,winner,00620,Black and Blue
5,Whitbread Biography Award,Costa Biography Award,Whitbread,1997,Biography,0145,Graham,Robb,man,TRUE,White British,Doctorate,Language and Literature,Vanderbilt University,French,Winner,winner,00273,Victor Hugo
8,Booker Prize,Booker Prize,Booker Foundation,1997,Fiction,0272,Arundhati,Roy,woman,FALSE,Asian,Bachelors,Arts,"School of Planning and Architecture, Delhi",Architecture,Winner,winner,00279,The God of Small Things
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,1997,Sff,0507,Mary Doria,Russell,woman,FALSE,Non-UK White,Doctorate,Maths and Sciences,University of Michigan,Biological Anthropology,Winner,winner,00653,The Sparrow
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1997,Fiction,0387,Manda,Scott,woman,TRUE,White British,Masters,Politics and Economics,Schumacher College,Sustainable Economics,Shortlisted,shortlisted,00493,Hen's Teeth
8,Booker Prize,Booker Prize,Booker Foundation,1997,Fiction,0276,Madeleine,St John,woman,TRUE,Jewish,Doctorate,Language and Literature,University of York,Literature,Shortlisted,shortlisted,00314,The Essence of the Thing
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,1997,Fiction,0026,Graham,Swift,man,TRUE,White British,Bachelors,Philosophy and Theology,University of Oxford,Philosophy and Theology,Winner,winner,00318,Last Orders
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,1997,Fiction,0027,Alice,Thompson,woman,TRUE,White British,Doctorate,Language and Literature,University of Oxford,English Literature,Winner,winner,00326,Justine
7,Whitbread Children's Book of the Year,Costa Children's Book Award,Whitbread,1998,Children's,0122,David,Almond,man,TRUE,White British,unknown,Language and Literature,University of East Anglia,English and American Literature,Winner,winner,00003,Skellig
8,Booker Prize,Booker Prize,Booker Foundation,1998,Fiction,0024,Beryl,Bainbridge,woman,TRUE,White British,none,none,none,none,Shortlisted,shortlisted,00020,Master Georgie
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1998,Fiction,0380,Kirsten,Bakis,woman,FALSE,Non-UK White,Bachelors,History and Cultural Studies,New York University,History,Shortlisted,shortlisted,00485,Lives of the Monster Dogs
8,Booker Prize,Booker Prize,Booker Foundation,1998,Fiction,0226,Julian,Barnes,man,TRUE,White British,Bachelors,Language and Literature,University of Oxford,Modern Languages,Shortlisted,shortlisted,00025,"England, England"
8,Booker Prize,Booker Prize,Booker Foundation,1998,Fiction,0269,Martin,Booth,man,TRUE,White British,Certificate of Education,unknown,Trent Park College of Education,unknown,Shortlisted,shortlisted,00035,The Industry of Souls
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,1998,Crime,0462,James Lee,Burke,man,FALSE,Non-UK White,Masters,Language and Literature,University of Missouri,English,Winner,winner,00619,Sunset Limited
4,Whitbread Novel Award,Costa Novel Award,Whitbread,1998,Fiction,0141,Justin,Cartwright,man,TRUE,Non-UK White,Bachelors,Politics and Economics,University of Oxford,"Politics, Philosophy and Economics",Winner,winner,00051,Leading the Cheers
3,Whitbread First Novel Award,Costa First Novel Award,Whitbread,1998,Fiction,0140,Giles,Foden,man,TRUE,White British,Bachelors,Language and Literature,University of Cambridge,English Literature,Winner,winner,00101,The Last King of Scotland
5,Whitbread Biography Award,Costa Biography Award,Whitbread,1998,Biography,0142,Amanda,Foreman,woman,TRUE,White British,Doctorate,History and Cultural Studies,University of Oxford,History,Winner,winner,00102,"Georgiana, Duchess of Devonshire"
